[Mon Mar 05 14:49:44.332554 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  19. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332561 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  20. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332568 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  21. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332575 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  22. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332582 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  23. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332589 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  24. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332596 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  25. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332606 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  26. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332613 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  27. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332621 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
